"id","question","numUpvotes","numAnswers","numCount"
0,"",0,0,1
3061,"Calling a function of a module by using its name (a string)",2156,18,11
10855,"LINQ query on a DataTable",1099,22,12
36901,"What does ** (double star/asterisk) and * (star/asterisk) do for parameters?",2896,23,10
41244,"Dynamic LINQ OrderBy on IEnumerable<T> / IQueryable<T>",717,22,6
101754,"Is there a way to run Python on Android?",2088,23,8
111102,"How do JavaScript closures work?",7625,86,27
113045,"How to return only the Date from a SQL Server DateTime datatype",2002,44,13
122327,"How do I find the location of my Python site-packages directory?",1196,22,5
136097,"Difference between staticmethod and classmethod",4199,33,11
171251,"How can I merge properties of two JavaScript objects dynamically?",2940,67,13
176264,"What is the difference between a URI, a URL and a URN?",4721,31,14
178325,"How do I check if an element is hidden in jQuery?",8295,63,22
208105,"Remove properties from objects (JavaScript)",6914,32,19
221294,"How do you get a timestamp in JavaScript?",4454,41,12
237104,"How do I check if an array includes a value in JavaScript?",4555,56,20
252703,"What is the difference between Python's list methods append and extend?",3113,20,13
268048,"Can I find out the return value before returning while debugging in Visual Studio?",422,21,5
298708,"Debugging with command-line parameters in Visual Studio",567,10,8
338206,"Why can't I use switch statement on a String?",1035,14,6
372865,"Path.Combine for URLs?",1383,42,10
394809,"Does Python have a ternary conditional operator?",7150,29,16
418898,"SQLite - UPSERT *not* INSERT or REPLACE",585,19,6
419019,"Split List into Sublists with LINQ",428,34,10
423379,"Using global variables in a function",3584,21,7
470542,"How do I limit the number of rows returned by an Oracle query after ordering?",1194,14,11
470617,"How do I get the current date and time in PHP?",972,40,9
503093,"How do I redirect to another webpage?",7710,58,18
541966,"How to lazy load images in ListView in Android",2035,41,12
559415,"Concat all strings inside a List<string> using LINQ",613,12,6
586182,"How to insert an item into an array at a specific index (JavaScript)",3670,24,11
606191,"Convert bytes to a string",3183,22,9
610883,"How to know if an object has an attribute in Python",2111,15,10
653714,"Insert results of a stored procedure into a temporary table",1723,31,17
736513,"How do I parse a URL into hostname and path in javascript?",446,24,5
739654,"How to make function decorators and chain them together?",2993,17,8
806000,"How do I give text or an image a transparent background using CSS?",2431,33,13
824349,"How do I modify the URL without reloading the page?",2763,20,13
829080,"How to build a query string for a URL in C#?",539,39,9
847066,"Group By Multiple Columns",1102,14,6
853526,"Using LINQ to remove elements from a List<T>",726,14,7
885035,"SQL Server 2008 Express Edition Connection Issue",2,8,5
914109,"How to use LINQ to select object with minimum or maximum property value",526,19,8
950087,"How do I include a JavaScript file in another JavaScript file?",5876,67,16
953919,"Convert Linq Query Result to Dictionary",394,4,5
1024559,"When to use .First and when to use .FirstOrDefault with LINQ?",892,14,12
1109022,"How do you close/hide the Android soft keyboard programmatically?",4156,123,21
1129216,"Sort array of objects by string property value",3530,54,21
1144783,"How to replace all occurrences of a string in JavaScript",5078,79,18
1184624,"Convert form data to JavaScript object with jQuery",1714,59,10
1191919,"What does LINQ return when the results are empty",360,7,5
1293330,"How can I do an UPDATE statement with JOIN in SQL Server?",1476,16,6
1301346,"What is the meaning of single and double underscore before an object name?",1577,17,7
1436703,"What is the difference between __str__ and __repr__?",3283,25,12
1515437,"Java function for arrays like PHP's join()?",264,23,5
1555109,"How to stop EditText from gaining focus at Activity startup in Android",3071,54,13
1694751,"Java Array Sort descending?",330,25,5
1789945,"How to check whether a string contains a substring in JavaScript?",7417,3,23
1952464,"In Python, how do I determine if an object is iterable?",1266,22,5
2001773,"Understanding REST: Verbs, error codes, and authentication",620,10,5
2010892,"How to Store Objects in HTML5 localStorage?",2859,24,6
2113498,"SqlException from Entity Framework - New transaction is not allowed because there are other threads running in the session",650,21,5
2165665,"How do I get the current absolute URL in Ruby on Rails?",1099,33,9
2201917,"How can I open a URL in Android's web browser from my application?",1519,40,9
2225038,"Determine the type of an object?",1990,15,6
2334712,"How do I UPDATE from a SELECT in SQL Server?",4031,36,19
2346464,"SQL Server 2008 SSMS connection and http connection string?",0,1,5
2432764,"How to change the URI (URL) for a remote Git repository?",5107,31,19
2612802,"List changes unexpectedly after assignment. Why is this and how can I prevent it?",3008,22,7
2629421,"How to use Boost in Visual Studio 2010",379,13,6
2642182,"How to sort an array in descending order in Ruby",315,8,5
2720014,"How to upgrade all Python packages with pip",2447,51,12
2767709,"Join/Where with LINQ and Lambda",520,10,6
2785485,"Is there a unique Android device ID?",2963,51,12
2971550,"Heroku: How to push different local Git branches to Heroku/master",445,11,5
3010840,"Loop through an array in JavaScript",3646,44,13
3286223,"ASP.NET Cross-Domain Cookies & Facebook Connect",0,3,5
3289601,"Referring to the null object in Python",1370,8,5
3305561,"0",1712,44,11
3437059,"Does Python have a string 'contains' substring method?",3591,10,11
3572463,"What is 'Context' on Android?",2155,30,7
3964681,"Find all files in a directory with extension .txt in Python",1041,26,7
4015417,"Why do Python classes inherit object?",1512,6,7
4046899,"ASP.NET Cross-Sub-Domain Single Sign-On Cookies",2,1,5
4048151,"What are the options for storing hierarchical data in a relational database?",1477,7,6
4205181,"Insert into a MySQL table or update if exists",1033,11,7
4240621,"Can I make a customer self-service product selection tool for the web/AIR with just Flash/Actionscript 3?",0,1,5
4534438,"TypeError: 'module' object is not callable",693,13,5
4611340,"An issue filtering related models inside the model definition",12,1,6
4942113,"Is there a format code shortcut for Visual Studio?",470,11,5
5344805,"LINQ Orderby Descending Query",484,4,8
5404839,"How can I refresh a page with jQuery?",2637,31,15
5767325,"How can I remove a specific item from an array?",10291,121,44
5891871,"Saving form data rewrites the same row",14,1,7
6127559,"wordpress plugin -> Call to undefined function wp_get_current_user()",39,10,5
6237295,"How can I update NodeJS and NPM to the next versions?",1914,55,13
6569700,"Autowired bean is null in MVC Controller",2,1,5
7013309,"Visual Studio debugger error: Unable to start program Specified file cannot be found",53,3,5
7065978,"Understanding cookie domain relationship with top level domain and its subdomains",1,1,5
7142622,"What is the difference between @Inject and @Autowired in Spring Framework? Which one to use under what condition?",753,11,6
7364150,"Find object by id in an array of JavaScript objects",1909,35,11
7921780,"Visual studio 2010 cannot find executable (after upgrade from 2008)",1,1,5
8130710,"ORACLE stored procedure returning too many rows",3,1,7
8933237,"How to find if directory exists in Python",1363,14,7
9025084,"Sorting a vector in descending order",349,11,5
